word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
deficit,/ˈdɛfəsət/,thâm hụt,The amount by which a sum of money falls short of the required or expected amount; a shortfall or deficiency.,"When government spending exceeds tax revenues, the resulting budget deficit must be financed by borrowing, which can increase interest rates and affect private investment.",noun,"the deficit, a deficit, budget deficit","shortfall, shortage",,Economics,IELTS 7.5+
equilibrium,/ˌikwəˈlɪbriəm/,trạng thái cân bằng,"A state in which opposing forces or influences are balanced, resulting in a stable system where there is no net change.","In a closed system, chemical equilibrium is reached when the rates of the forward and reverse reactions are equal, resulting in no net change in the concentrations of reactants and products.",noun,"the equilibrium, of equilibrium, in equilibrium","balance, stability",,Physics,IELTS 7.5+
proliferation,/ˌproʊlɪfərˈeɪʃən/,sự tăng sinh,A rapid and often excessive increase in number or spread of something.,"International treaties aim to prevent the proliferation of nuclear weapons and related technology, promoting disarmament among existing nuclear powers.",noun,"the proliferation, cell proliferation, a proliferation","escalation, expansion",,Political Science,IELTS 7.5+
corroborate,/kərˈɑbərˌeɪt/,chứng thực,"To confirm or give support to a statement, theory, or finding, often with additional evidence or authority.",Newly discovered manuscripts from the monastery's archives corroborate the account of the city's founding that was previously dismissed by scholars as mere folklore.,verb,"to corroborate, not corroborate, and corroborate","confirm, substantiate",,History,IELTS 7.5+
apathy,/ˈæpəθi/,thờ ơ,"A lack of interest, enthusiasm, or concern, especially regarding matters of general importance or appeal.","Widespread voter apathy can significantly undermine the legitimacy of democratic processes, as low turnout often reflects a general disillusionment with the political system.",noun,"the apathy, and apathy, of apathy","indifference, lethargy",,Psychology,IELTS 7.5+
culmination,/ˌkəlməˈneɪʃən/,đỉnh cao,"The final point or climax of a process, event, or series of actions; the highest or most decisive point.","The storming of the Bastille on July 14, 1789, is widely regarded as the culmination of the growing social and political unrest that triggered the French Revolution.",noun,"the culmination, its culmination, a culmination","climax, pinnacle",,History,IELTS 7.5+
futile,/fˈjutəl/,vô ích,Incapable of producing any useful result; pointless or having no effect.,"Historical analysis reveals that the peasant uprisings of the late medieval period were largely futile, as they lacked the centralized leadership and military resources to challenge the established feudal order.",adjective,"a futile, is futile, be futile","fruitless, vain",,History,IELTS 7.5+
engender,/ɪnˈʤɛndər/,gây ra,"To cause or give rise to a feeling, situation, or condition.",A government that is perceived as corrupt and unresponsive is likely to engender feelings of cynicism and alienation among its citizens.,verb,"to engender, they engender, can engender","cause, produce",,Sociology,IELTS 7.5+
resolutely,/ˈrɛzəˌlutli/,kiên quyết,"In a determined, purposeful, and unwavering manner.","Despite overwhelming opposition from established political factions, the newly formed party resolutely pursued its agenda for comprehensive institutional reform.",adverb,"and resolutely, he resolutely, so resolutely","steadfastly, determinedly",,Political Science,IELTS 7.5+
indisputable,/ˌɪndɪˈspjutəbəl/,không thể chối cãi,Unable to be challenged or denied; not open to question or dispute because it is so obviously true.,"The discovery of the Rosetta Stone provided indisputable evidence for deciphering ancient Egyptian hieroglyphs, fundamentally changing the field of Egyptology.",adjective,"is indisputable, an indisputable, the indisputable","incontrovertible, irrefutable",,History,IELTS 7.5+
disparate,/ˈdɪspərɪt/,khác nhau,Fundamentally different or distinct in kind; entirely unalike.,The study aimed to synthesize findings from a wide range of disparate sources to create a more holistic understanding of urban development.,adjective,"the disparate, of disparate, a disparate","dissimilar, divergent",,Sociology,IELTS 7.5+
